"raceId","positionOrder","driver_name","constructor_name","year","round","circuitId","status","std_avg_lap"
949,14,"Felipe Nasr","Sauber",2016,2,3,"+1 Lap",-0.134256857165696
949,15,"Nico Hülkenberg","Force India",2016,2,3,"+1 Lap",-0.131933953067218
949,16,"Sergio Pérez","Force India",2016,2,3,"+1 Lap",-0.127998578932024
949,17,"Rio Haryanto","Manor Marussia",2016,2,3,"+1 Lap",-0.0871959826593636
949,18,"Carlos Sainz","Toro Rosso",2016,2,3,"Retired",0.240367643569252
949,19,"Esteban Gutiérrez","Haas F1 Team",2016,2,3,"Retired",0.44605893363943
949,20,"Jenson Button","McLaren",2016,2,3,"Power Unit",-0.159312216015866
950,1,"Nico Rosberg","Mercedes",2016,3,17,"Finished",-0.19560244974653
950,2,"Sebastian Vettel","Ferrari",2016,3,17,"Finished",-0.134024415940319
950,3,"Daniil Kvyat","Red Bull",2016,3,17,"Finished",-0.120722934686156
950,4,"Daniel Ricciardo","Red Bull",2016,3,17,"Finished",-0.109716610981749
950,5,"Kimi Räikkönen","Ferrari",2016,3,17,"Finished",-0.0882255902886661
950,6,"Felipe Massa","Williams",2016,3,17,"Finished",-0.0725132155571549
950,7,"Lewis Hamilton","Mercedes",2016,3,17,"Finished",-0.0680810185558729
950,8,"Max Verstappen","Toro Rosso",2016,3,17,"Finished",-0.0663889918963981
950,9,"Carlos Sainz","Toro Rosso",2016,3,17,"Finished",-0.0584684162328916
950,10,"Valtteri Bottas","Williams",2016,3,17,"Finished",-0.0551022938321685
950,11,"Sergio Pérez","Force India",2016,3,17,"Finished",-0.0419132883385975
950,12,"Fernando Alonso","McLaren",2016,3,17,"Finished",-0.0370719403820833
950,13,"Jenson Button","McLaren",2016,3,17,"Finished",-0.0293502349040342
950,14,"Esteban Gutiérrez","Haas F1 Team",2016,3,17,"+1 Lap",-0.0120234254869399
950,15,"Nico Hülkenberg","Force India",2016,3,17,"+1 Lap",-0.00980935718116423
950,16,"Marcus Ericsson","Sauber",2016,3,17,"+1 Lap",0.00769572409356331
950,17,"Kevin Magnussen","Renault",2016,3,17,"+1 Lap",0.0238929449299403
950,18,"Pascal Wehrlein","Manor Marussia",2016,3,17,"+1 Lap",0.0318562880565235
950,19,"Romain Grosjean","Haas F1 Team",2016,3,17,"+1 Lap",0.0345632936086857
