"resultId","raceId","driverId","constructorId","positionOrder","laps","fastestLapSpeed","statusId","driver_name","constructor_name","year","round","circuitId","race_name","status","circuit_name","total_time","avg_lap","circuit_avg_lap","circuit_lap_sd","std_avg_lap"
59,20,7,5,15,56,"204.369",11,"Sébastien Bourdais","Toro Rosso",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5495556,98134.9285714286,102227.284796327,8294.7277744376,-0.493368358333607
60,20,19,8,16,56,"204.389",11,"Anthony Davidson","Super Aguri",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5533638,98814.9642857143,102227.284796327,8294.7277744376,-0.411384267622224
61,20,11,8,17,56,"203.180",11,"Takuma Sato","Super Aguri",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5542074,98965.6071428571,102227.284796327,8294.7277744376,-0.393222989610533
62,20,14,9,18,56,"204.331",11,"David Coulthard","Red Bull",2008,3,3,"Bahrain Grand Prix","+1 Lap","Bahrain International Circuit",5551666,99136.8928571429,102227.284796327,8294.7277744376,-0.372573039552669
63,20,16,10,19,56,"204.136",12,"Adrian Sutil","Force India",2008,3,3,"Bahrain Grand Prix","+2 Laps","Bahrain International Circuit",5501547,100028.127272727,102227.284796327,8294.7277744376,-0.265127148642181
64,20,12,4,20,40,"204.808",6,"Nelson Piquet Jr.","Renault",2008,3,3,"Bahrain Grand Prix","Gearbox","Bahrain International Circuit",4006755,100168.875,102227.284796327,8294.7277744376,-0.24815881271843
65,20,18,11,21,19,"202.686",4,"Jenson Button","Honda",2008,3,3,"Bahrain Grand Prix","Collision","Bahrain International Circuit",1968059,103582.052631579,102227.284796327,8294.7277744376,0.163328788128166
67,21,8,6,1,66,"205.191",1,"Kimi Räikkönen","Ferrari",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5899051,89379.5606060606,90421.4392598633,9044.95069965644,-0.11518898094627
68,21,13,6,2,66,"204.863",1,"Felipe Massa","Ferrari",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5902279,89428.4696969697,90421.4392598633,9044.95069965644,-0.109781644573398
69,21,1,1,3,66,"204.323",1,"Lewis Hamilton","McLaren",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5903238,89443,90421.4392598633,9044.95069965644,-0.108175189932262
70,21,9,2,4,66,"204.102",1,"Robert Kubica","BMW Sauber",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5904745,89465.8333333333,90421.4392598633,9044.95069965644,-0.105650761210479
71,21,17,9,5,66,"202.969",1,"Mark Webber","Red Bull",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5934989,89924.0757575758,90421.4392598633,9044.95069965644,-0.054987972715696
72,21,18,11,6,66,"203.489",1,"Jenson Button","Honda",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5952061,90182.7424242424,90421.4392598633,9044.95069965644,-0.0263900648601566
73,21,6,3,7,66,"200.576",1,"Kazuki Nakajima","Williams",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5957295,90262.0454545455,90421.4392598633,9044.95069965644,-0.0176224073088516
74,21,15,7,8,66,"202.494",1,"Jarno Trulli","Toyota",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5958486,90280.0909090909,90421.4392598633,9044.95069965644,-0.0156273213051057
75,21,2,2,9,66,"203.080",1,"Nick Heidfeld","BMW Sauber",2008,4,4,"Spanish Grand Prix","Finished","Circuit de Barcelona-Catalunya",5962124,90335.2121212121,90421.4392598633,9044.95069965644,-0.00953317950692996
76,21,21,10,10,65,"200.841",11,"Giancarlo Fisichella","Force India",2008,4,4,"Spanish Grand Prix","+1 Lap","Circuit de Barcelona-Catalunya",5908846,90905.3230769231,90421.4392598633,9044.95069965644,0.0534976732463747
77,21,10,7,11,65,"201.886",11,"Timo Glock","Toyota",2008,4,4,"Spanish Grand Prix","+1 Lap","Circuit de Barcelona-Catalunya",5913054,90970.0615384615,90421.4392598633,9044.95069965644,0.0606550877738993
78,21,14,9,12,65,"202.288",11,"David Coulthard","Red Bull",2008,4,4,"Spanish Grand Prix","+1 Lap","Circuit de Barcelona-Catalunya",5949241,91526.7846153846,90421.4392598633,9044.95069965644,0.122205791078919
79,21,11,8,13,65,"198.045",11,"Takuma Sato","Super Aguri",2008,4,4,"Spanish Grand Prix","+1 Lap","Circuit de Barcelona-Catalunya",5964965,91768.6923076923,90421.4392598633,9044.95069965644,0.14895084479346
80,21,3,3,14,41,"201.130",5,"Nico Rosberg","Williams",2008,4,4,"Spanish Grand Prix","Engine","Circuit de Barcelona-Catalunya",3828346,93374.2926829268,90421.4392598633,9044.95069965644,0.326464291637952
81,21,4,4,15,34,"202.677",5,"Fernando Alonso","Renault",2008,4,4,"Spanish Grand Prix","Engine","Circuit de Barcelona-Catalunya",3235739,95168.7941176471,90421.4392598633,9044.95069965644,0.524862436006876
82,21,22,11,16,34,"199.837",4,"Rubens Barrichello","Honda",2008,4,4,"Spanish Grand Prix","Collision","Circuit de Barcelona-Catalunya",3260731,95903.8529411765,90421.4392598633,9044.95069965644,0.606129747232501
83,21,5,1,17,21,"203.243",3,"Heikki Kovalainen","McLaren",2008,4,4,"Spanish Grand Prix","Accident","Circuit de Barcelona-Catalunya",1869659,89031.3809523809,90421.4392598633,9044.95069965644,-0.15368334816188
84,21,19,8,18,8,"192.922",21,"Anthony Davidson","Super Aguri",2008,4,4,"Spanish Grand Prix","Radiator","Circuit de Barcelona-Catalunya",822022,102752.75,90421.4392598633,9044.95069965644,1.36333642378008
85,21,7,5,19,7,"194.862",4,"Sébastien Bourdais","Toro Rosso",2008,4,4,"Spanish Grand Prix","Collision","Circuit de Barcelona-Catalunya",464654,116163.5,90421.4392598633,9044.95069965644,2.84601448862673
86,21,12,4,20,6,"196.128",4,"Nelson Piquet Jr.","Renault",2008,4,4,"Spanish Grand Prix","Collision","Circuit de Barcelona-Catalunya",637331,106221.833333333,90421.4392598633,9044.95069965644,1.74687453786456
89,22,13,6,1,58,"221.734",1,"Felipe Massa","Ferrari",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5209451,89818.1206896552,95757.48962215,9823.32924998032,-0.604618737838467
90,22,1,1,2,58,"222.085",1,"Lewis Hamilton","McLaren",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5213230,89883.275862069,95757.48962215,9823.32924998032,-0.59798604023099
91,22,8,6,3,58,"222.144",1,"Kimi Räikkönen","Ferrari",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5213722,89891.7586206897,95757.48962215,9823.32924998032,-0.597122508285271
92,22,9,2,4,58,"221.442",1,"Robert Kubica","BMW Sauber",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5231396,90196.4827586207,95757.48962215,9823.32924998032,-0.566102053796111
93,22,2,2,5,58,"220.328",1,"Nick Heidfeld","BMW Sauber",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5248192,90486.0689655172,95757.48962215,9823.32924998032,-0.536622617697893
94,22,4,4,6,58,"220.174",1,"Fernando Alonso","Renault",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5263175,90744.3965517241,95757.48962215,9823.32924998032,-0.510325261716731
95,22,17,9,7,58,"219.294",1,"Mark Webber","Red Bull",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5273680,90925.5172413793,95757.48962215,9823.32924998032,-0.491887450558612
96,22,3,3,8,58,"218.882",1,"Nico Rosberg","Williams",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5280857,91049.2586206897,95757.48962215,9823.32924998032,-0.479290766057724
97,22,14,9,9,58,"218.457",1,"David Coulthard","Red Bull",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5284721,91115.8793103448,95757.48962215,9823.32924998032,-0.472508881020601
98,22,15,7,10,58,"218.556",1,"Jarno Trulli","Toyota",2008,5,5,"Turkish Grand Prix","Finished","Istanbul Park",5285795,91134.3965517241,95757.48962215,9823.32924998032,-0.470623853968356
99,22,18,11,11,57,"218.377",11,"Jenson Button","Honda",2008,5,5,"Turkish Grand Prix","+1 Lap","Istanbul Park",5210629,91414.5438596491,95757.48962215,9823.32924998032,-0.442105283451589
